Amplicon_ID,Num_SNP_covered
-,1982
A2-ns,965
A2-sp,271
A3-sp,238
A1-sp,206
A1-ns,158
A3-ns,82
"A2-sp,A3-sp",31
A4-ns,11
A4-sp,6
"A1-sp,A2-sp",3
